Wavelength;Healthy_Maize;Stressed_Maize;Healthy_Sugar_bean;Stressed_Sugar_bean;Healthy_cabbage;Stressed_Cabbage_S1
423;0,017940869;0,021341595;0,009017445;0,011219614;0,041044854;0,064147227
424;0,018247209;0,021706003;0,009169608;0,011408936;0,041742444;0,065237461
425;0,01853135;0,022044004;0,009294599;0,011564451;0,042327218;0,066151378
426;0,018668981;0,022207723;0,009374303;0,01166362;0,042830384;0,066937754
427;0,018795513;0,022358239;0,009325393;0,011602767;0,043317806;0,067699525
428;0,019046356;0,02265663;0,009276484;0,011541913;0,04387375;0,068568386
429;0,0192972;0,022955022;0,009356188;0,011641082;0,044579078;0,069670712
430;0,019503647;0,023200601;0,009481179;0,011796597;0,04550532;0,071118297
431;0,019541384;0,023245492;0,009633342;0,011985919;0,04668399;0,072960388
432;0,019747831;0,02349107;0,009794561;0,012186511;0,048094858;0,075165374
433;0,019998674;0,023789462;0,009946724;0,012375834;0,049678602;0,077640538
434;0,020249518;0,024087853;0,010071715;0,012531349;0,05134944;0,080251818
435;0,020455964;0,024333432;0,010151419;0,012630518;0,053019808;0,082862365
436;0,020573617;0,024473386;0,010167722;0,012650802;0,054626166;0,085372873
437;0,020760085;0,024695199;0,010037297;0,012488526;0,056136633;0,087733516
438;0,02083334;0,02478234;0,0100536;0,01250881;0,057541472;0,089929078
439;0,020950992;0,024922293;0,010133304;0,012607979;0,058859337;0,091988712
440;0,021068644;0,025062247;0,010258295;0,012763494;0,060135404;0,093983021
441;0,0211419;0,025149388;0,010410458;0,012952817;0,061393845;0,095949784
442;0,021328367;0,025371201;0,010571678;0,013153408;0,062642648;0,097901485
443;0,02144602;0,025511155;0,01072384;0,013342731;0,063872907;0,099824204
444;0,021652466;0,025756733;0,010848831;0,013498246;0,065073228;0,101700134
445;0,02190331;0,026055125;0,010928535;0,013597415;0,066240717;0,103524751
446;0,022154154;0,026353516;0,010944838;0,013617699;0,067362769;0,105278357
447;0,0223606;0,026599095;0,010814413;0,013455423;0,068414896;0,106922681
448;0,022398338;0,026643986;0,010830716;0,013475707;0,069361269;0,108401728
449;0,022604784;0,026889565;0,010910421;0,013574876;0,070178728;0,109679298
450;0,022855628;0,027187956;0,011035411;0,013730391;0,070846591;0,110723072
451;0,023106471;0,027486348;0,011187574;0,013919714;0,071328602;0,111476387
452;0,023312918;0,027731927;0,011348794;0,014120306;0,071634117;0,111953863
453;0,02343057;0,02787188;0,011500956;0,014309628;0,071802516;0,112217047
454;0,023537123;0,027998631;0,011625947;0,014465143;0,071893341;0,112358993
455;0,023710272;0,0282046;0,011705651;0,014564312;0,071987208;0,112505694
456;0,023905619;0,028436976;0,011656742;0,014503458;0,072115884;0,112706795
457;0,024078768;0,028642945;0,011607832;0,014442605;0,072285392;0,112971712
458;0,024185321;0,028769696;0,011687537;0,014541774;0,072493273;0,1132966
459;0,024382888;0,029004712;0,011812527;0,014697289;0,072721317;0,113653001
460;0,024569356;0,029226525;0,01196469;0,014886611;0,072929204;0,113977898
461;0,024642611;0,029313666;0,01212591;0,015087203;0,073065524;0,114190948
462;0,024760263;0,02945362;0,012278072;0,015276525;0,07310324;0,114249891
463;0,024877916;0,029593573;0,012403063;0,01543204;0,073042498;0,114154961
464;0,024951171;0,029680714;0,012482767;0,015531209;0,072902943;0,113936856
465;0,025137639;0,029902527;0,012499071;0,015551494;0,072719652;0,113650399
466;0,025335206;0,030137543;0,012433858;0,015470356;0,072534884;0,113361633
467;0,025521674;0,030359357;0,012433858;0,015470356;0,072401239;0,113152765
468;0,025674844;0,03054156;0,012433858;0,015470356;0,072367989;0,1131008
469;0,025772517;0,030657748;0,012433858;0,015470356;0,072461256;0,113246563
470;0,025792496;0,030681514;0,012433858;0,015470356;0,072689034;0,113602547
471;0,025712581;0,030586451;0,012433858;0,015470356;0,073032173;0,114138824
472;0,025712581;0,030586451;0,012433858;0,015470356;0,073452161;0,114795206
473;0,025712581;0,030586451;0,012433858;0,015470356;0,073915805;0,115519815
474;0,025712581;0,030586451;0,012368645;0,015389217;0,074399185;0,116275268
475;0,025712581;0,030586451;0,012384949;0,015409502;0,074904131;0,117064427
476;0,025632666;0,030491388;0,012464653;0,015508671;0,075461223;0,117935082
477;0,025652645;0,030515154;0,012589643;0,015664186;0,076100347;0,11893394
478;0,025750319;0,030631342;0,012741806;0,015853508;0,076790236;0,120012139
479;0,025903489;0,030813545;0,012903026;0,0160541;0,077443302;0,121032787
480;0,026089957;0,031035359;0,013055189;0,016243423;0,077939604;0,121808436
481;0,026287524;0,031270375;0,013180179;0,016398937;0,078162533;0,122156842
482;0,026394077;0,031397125;0,013259884;0,016498106;0,07804539;0,121973764
483;0,026567225;0,031603095;0,013276187;0,016518391;0,077604515;0,12128474
484;0,026762573;0,03183547;0,013145762;0,016356115;0,076962004;0,120280588
485;0,026855807;0,031946377;0,013162065;0,016376399;0,076350862;0,11932546
486;0,026982338;0,032096893;0,013241769;0,016475568;0,076019879;0,11880818
487;0,027277579;0,032448097;0,01336676;0,016631083;0,076153019;0,11901626
488;0,027537302;0,032757051;0,01345371;0,016739267;0,076769925;0,119980395
489;0,027896919;0,033184834;0,013631233;0,016960144;0,077776977;0,121554273
490;0,028209918;0,033557163;0,0138631;0,017248635;0,079024617;0,123504156
491;0,028589513;0,034008711;0,014113081;0,017559665;0,080377058;0,125617828
492;0,028866995;0,03433879;0,014279735;0,017767018;0,081718619;0,127714495
493;0,029335385;0,034895964;0,014473561;0,018008179;0,082966322;0,129664476
494;0,029746058;0,035384481;0,014575003;0,018134394;0,084082335;0,131408645
495;0,030110114;0,035817545;0,014841288;0,018465708;0,085065238;0,132944782
496;0,030618461;0,03642225;0,015087646;0,018772231;0,085901289;0,134251409
497;0,031259999;0,037185393;0,015406463;0,019168906;0,08657086;0,135297852
498;0,031821622;0,037853473;0,015660067;0,019484444;0,087064307;0,136069039
499;0,03247204;0,038627178;0,016022359;0,019935212;0,087438016;0,136653094
500;0,033098039;0,039371837;0,016437183;0,020451341;0,08782289;0,137254596
501;0,03384613;0,04026173;0,016960695;0,021102701;0,088387715;0,138137336
502;0,034580902;0,04113578;0,017418995;0,021672922;0,089248729;0,139482979
503;0,035346752;0,042046798;0,017949752;0,022333297;0,090466121;0,141385587
504;0,036165879;0,043021191;0,018460584;0,02296888;0,092018345;0,143811491
505;0,037038282;0,04405896;0,019005833;0,023647286;0,093811681;0,146614219
506;0,03814377;0,045373995;0,019621729;0,024413591;0,095757512;0,149655273
507;0,039380229;0,046844828;0,0203916;0,025371473;0,097778546;0,152813861
508;0,040703262;0,048418645;0,021103503;0,026257232;0,099818807;0,156002496
509;0,042046275;0,050016228;0,021904168;0,027253429;0,101852021;0,159180118
510;0,043442564;0,051677186;0,022922208;0,028520087;0,103831192;0,16227328
511;0,044903228;0,053414723;0,024056182;0,029930991;0,105644662;0,165107473
512;0,046417169;0,055215634;0,02512132;0,031256249;0,107149797;0,167459783
513;0,047871174;0,056945249;0,026338621;0,032770829;0,108286224;0,169235856
514;0,049591562;0,058991739;0,027680913;0,034440924;0,109089933;0,170491938
515;0,051420723;0,061167621;0,029037696;0,03612905;0,109766862;0,171549881
516;0,05346077;0,063594362;0,030657141;0,038143983;0,11070236;0,173011931
517;0,055451979;0,06596301;0,032327306;0,040222023;0,112268459;0,175459518
518;0,057654076;0,068582518;0,034095291;0,04242177;0,114709106;0,1792739
519;0,059842853;0,071186182;0,035990077;0,044779287;0,118075797;0,184535556
520;0,062053828;0,073816253;0,037910224;0,047168357;0,122186076;0,190959333
521;0,064162691;0,076324854;0,039801388;0,049521365;0,126625103;0,197896897
522;0,066304851;0,078873065;0,04159111;0,051748159;0,130911889;0,204596529
523;0,068413713;0,081381666;0,043518503;0,054146244;0,134677382;0,210481455
524;0,070624689;0,084011736;0,045445896;0,05654433;0,137791825;0,215348883
525;0,072813466;0,0866154;0,04730083;0,058852262;0,140564813;0,219682666
526;0,074935647;0,089139845;0,049175691;0,061184986;0,143449431;0,224190912
527;0,077026751;0,091627322;0,050950921;0,063393748;0,146697651;0,229267413
528;0,079064578;0,094051423;0,05273702;0,065616034;0,150253287;0,234824363
529;0,081049128;0,096412148;0,054497759;0,067806767;0,153957811;0,240614003
530;0,082800594;0,098495608;0,05605018;0,069738307;0,157643158;0,246373674
531;0,084421088;0,10042327;0,057606223;0,071674355;0,161187357;0,251912748
532;0,086034923;0,10234301;0,059019162;0,07343235;0,164525656;0,257130031
533;0,087528885;0,104120156;0,060390437;0,075138507;0,167590122;0,261919353
534;0,088891876;0,105741504;0,061562451;0,076596741;0,170346422;0,266227055
535;0,090134995;0,107220259;0,062738088;0,078059483;0,172912916;0,270238117
536;0,091291539;0,108596029;0,063761563;0,079332903;0,175292438;0,27395697
537;0,092417006;0,10993483;0,064660047;0,080450807;0,177359586;0,277187625
538;0,093387083;0,111088786;0,065478826;0,081469543;0,178996698;0,279746197
539;0,094359379;0,112245383;0,066281303;0,082467994;0,180373394;0,281897776
540;0,095231782;0,113283152;0,066984149;0,083342483;0,181779334;0,284095059
541;0,0961841;0,114415984;0,067799306;0,084356711;0,18351637;0,286809797
542;0,097216333;0,115643878;0,068514833;0,085246978;0,185722724;0,290258012
543;0,098148672;0,116752944;0,069148843;0,086035822;0,18832191;0,294320168
544;0,099003316;0,117769587;0,069719453;0,086745781;0,191101054;0,298663572
545;0,099882379;0,118815278;0,070474832;0,087685632;0,193854384;0,302966633
546;0,10062825;0,119702531;0,071074425;0,088431653;0,196464902;0,307046497
547;0,101365242;0,120579221;0,071684887;0,089191197;0,198843461;0,310763844
548;0,101957943;0,12128427;0,072260931;0,089907918;0,200984921;0,31411064
549;0,102552864;0,121991959;0,072775385;0,090548009;0,203025641;0,317299993
550;0,103116707;0,12266268;0,073219193;0,0911002;0,205057944;0,320476192
551;0,103638373;0,123283229;0,073601411;0,09157576;0,207061313;0,32360717
552;0,104128961;0,123866809;0,073849581;0,091884536;0,208877751;0,326446003
553;0,104419762;0,124212732;0,073974571;0,092040051;0,210179103;0,328479829
554;0,104703904;0,124550733;0,073893056;0,091938628;0,21068559;0,329271396
555;0,104857074;0,124732936;0,073769877;0,091785367;0,210308846;0,3286826
556;0,104857074;0,124732936;0,07347642;0,091420245;0,209218158;0,32697801
557;0,104703904;0,124550733;0,073132243;0,090992015;0,207682413;0,324577861
558;0,104419762;0,124212732;0,072663075;0,090408271;0,205998212;0,321945696
559;0,104128961;0,123866809;0,072077973;0,089680281;0,204459478;0,319540874
560;0,103638373;0,123283229;0,071469323;0,08892299;0,203256299;0,317660479
561;0,103116707;0,12266268;0,070735682;0,088010185;0,202389383;0,316305613
562;0,102552864;0,121991959;0,069958566;0,087043288;0,201707144;0,315239371
563;0,101957943;0,12128427;0,069137975;0,086022299;0,200933327;0,314030006
564;0,101365242;0,120579221;0,068192393;0,084845794;0,199861577;0,312355014
565;0,10062825;0,119702531;0,067158049;0,083558852;0,198330606;0,309962326
566;0,099882379;0,118815278;0,066089288;0,082229087;0,196328431;0,306833214
567;0,099003316;0,117769587;0,064958938;0,080822691;0,194037456;0,303252747
568;0,098148672;0,116752944;0,063692727;0,079247257;0,191815839;0,299780678
569;0,097216333;0,115643878;0,062446443;0,077696615;0,189957099;0,296875734
570;0,0961841;0,114415984;0,06116393;0,076100897;0,188555464;0,294685179
571;0,095231782;0,113283152;0,059789032;0,074390232;0,187424824;0,292918151
572;0,094279464;0,112150321;0,058542748;0,072839591;0,186400323;0,291317003
573;0,093327147;0,111017489;0,057368922;0,071379102;0,185362286;0,289694699
574;0,092374829;0,109884657;0,0562114;0,069938899;0,184157617;0,287811974
575;0,091422511;0,108751826;0,055061123;0,068507711;0,182600582;0,285378552
576;0,090470193;0,107618994;0,054055763;0,06725683;0,180718423;0,282437007
577;0,089437961;0,1063911;0,053102935;0,06607131;0,178823702;0,279475829
578;0,088505621;0,105282034;0,052157353;0,064894806;0,177392633;0,277239273
579;0,087650977;0,104265391;0,051320459;0,063853532;0,176697745;0,276153263
580;0,086771915;0,1032197;0,050398426;0,062706327;0,176702041;0,276159977
581;0,086026043;0,102332447;0,04962131;0,06173943;0,17705659;0,276714087
582;0,085289051;0,101455757;0,048989111;0,06095284;0,177498832;0,277405247
583;0,084616435;0,100655645;0,048271773;0,06006032;0,177676193;0,277682438
584;0,084121408;0,100066784;0,047663122;0,059303029;0,177051126;0,276705547
585;0,083635259;0,099488486;0,047061718;0,058554755;0,174817772;0,273215134
586;0,08316909;0,098933953;0,046578058;0,057952979;0,171108118;0,267417476
587;0,082791714;0,098485045;0,046092587;0,05734895;0,166751372;0,260608508
588;0,082492034;0,09812856;0,045632476;0,056776475;0,162835186;0,25448807
589;0,082179034;0,097756231;0,045271996;0,056327961;0,159910768;0,249917623
590;0,081819418;0,097328448;0,04485536;0,055809578;0,158156196;0,247175478
591;0,081559695;0,097019494;0,044538355;0,055415156;0,157591312;0,246292645
592;0,081264454;0,09666829;0,04424671;0,055052288;0,15827158;0,247355806
593;0,081058008;0,096422711;0,043953253;0,054687166;0,159964828;0,250002111
594;0,080984752;0,09633557;0,043842754;0,054549682;0,161982323;0,253155167
595;0,080966994;0,096314445;0,043657985;0,05431979;0,16345455;0,255456046
596;0,080927036;0,096266914;0,043518503;0,054146244;0,164476408;0,257053064
597;0,080909277;0,096245788;0,043379021;0,053972699;0,16531815;0,258368587
598;0,080756107;0,096063585;0,043194252;0,053742807;0,166237159;0,259804866
599;0,080649554;0,095936834;0,04301854;0,053524185;0,167135812;0,261209332
600;0,080432009;0,095678052;0,042806599;0,053260485;0,168012439;0,262579374
601;0,080227782;0,095435114;0,042578355;0,052976502;0,168849603;0,263887742
602;0,079901463;0,095046941;0,042241424;0,052557287;0,169668634;0,265167769
603;0,079599563;0,094687815;0,041933476;0,052174135;0,170469972;0,266420147
604;0,079288783;0,094318126;0,041645454;0,051815774;0,171143837;0,267473301
605;0,07887811;0,093829609;0,041221572;0,051288376;0,171554709;0,268115435
606;0,078356444;0,093209061;0,040670889;0,050603208;0,171642822;0,268253143
607;0,077792601;0,09253834;0,040167303;0,049976641;0,17141718;0,267900497
608;0,07719768;0,09183065;0,039573144;0,049237381;0,170985389;0,267225668
609;0,076525064;0,091030538;0,038980797;0,048500376;0,170535232;0,266522138
610;0,07580805;0,090177614;0,038370335;0,047740832;0,170226375;0,266039439
611;0,075159853;0,089406549;0,037787045;0,047015096;0,1700363;0,265742378
612;0,074354045;0,088447999;0,037176583;0,046255552;0,169804403;0,265379957
613;0,073705848;0,087676935;0,036584236;0,045518546;0,169431783;0,264797605
614;0,072988834;0,08682401;0,03605529;0,044860425;0,169095629;0,264272244
615;0,072316218;0,086023898;0,035470188;0,044132435;0,168961502;0,264062623
616;0,071721297;0,085316209;0,034921316;0,043449521;0,169152133;0,264360552
617;0,071237369;0,084740551;0,034435845;0,042845492;0,16974569;0,265288197
618;0,070695724;0,084096236;0,033975734;0,042273017;0,170556119;0,266554781
619;0,070107463;0,083396469;0,033550041;0,041743365;0,171328801;0,267762372
620;0,069663492;0,082868342;0,033214921;0,041326404;0,171820687;0,26853112
621;0,069272797;0,082403591;0,032961317;0,041010867;0,17183563;0,268554474
622;0,068902081;0,081962605;0,032714959;0,040704344;0,171306474;0,267727478
623;0,068697855;0,081719667;0,032448674;0,04037303;0,170176769;0,265961911
624;0,068524706;0,081513697;0,03228202;0,040165677;0,168527755;0,263384739
625;0,068506947;0,081492572;0,032104497;0,039944801;0,166513707;0,260237071
626;0,068486968;0,081468807;0,032017547;0,039836616;0,164510243;0,257105943
627;0,068566883;0,081563869;0,031892556;0,039681101;0,162821932;0,254467354
628;0,068566883;0,081563869;0,031812852;0,039581932;0,161526997;0,252443557
629;0,068566883;0,081563869;0,031796549;0,039561648;0,160783612;0,251281753
630;0,068566883;0,081563869;0,031926974;0,039723924;0,1606729;0,251108725
631;0,068646798;0,081658932;0,03191067;0,03970364;0,161185114;0,251909243
632;0,068626819;0,081635167;0,031830966;0,039604471;0,162232805;0,253546635
633;0,06860906;0,081614041;0,031771188;0,039530094;0,163517757;0,25555483
634;0,068515827;0,081503135;0,031602722;0,039320487;0,164724787;0,257441245
635;0,068211706;0,081141368;0,031427011;0,039101864;0,165740984;0,259029415
636;0,06784321;0,080703023;0,031133554;0,038736742;0,166427162;0,260101813
637;0,067377041;0,08014849;0,030841909;0,038373874;0,166690585;0,260513505
638;0,066802098;0,079464566;0,030524904;0,037979452;0,166533214;0,260267557
639;0,066129482;0,078664455;0,030108268;0,037461069;0,166209053;0,25976094
640;0,06539249;0,077787764;0,029747788;0,037012555;0,165850292;0,259200247
641;0,064646619;0,076900512;0,029287677;0,03644008;0,165407203;0,258507764
642;0,063767557;0,075854821;0,028736993;0,035754913;0,164703916;0,257408627
643;0,062912912;0,074838177;0,028269637;0,035173422;0,163573012;0,255641185
644;0,061900658;0,073634049;0,027682724;0,034443178;0,16193174;0,253076113
645;0,060888405;0,07242992;0,027215367;0,033861687;0,159845428;0,249815506
646;0,06003376;0,071413277;0,026664684;0,03317652;0,157495243;0,246142503
647;0,059154698;0,070367586;0,026269786;0,032685183;0,155306178;0,242721308
648;0,058408826;0,069480333;0,025827789;0,032135246;0,153683051;0,240184593
649;0,057671835;0,068603643;0,025347753;0,031537979;0,152989067;0,239099996
650;0,057079133;0,067898594;0,025050673;0,031168349;0,153569578;0,240007251
651;0,056484212;0,067190905;0,024715553;0,030751388;0,154452128;0,24138655
652;0,056000284;0,066615247;0,024398548;0,030356967;0,15437178;0,241260978
653;0,055538554;0,066065995;0,0240906;0,029973814;0,152626083;0,238532704
654;0,055010228;0,065437524;0,023782652;0,029590661;0,150396943;0,235048878
655;0,05452852;0,064864507;0,023465646;0,029196239;0,148590308;0,232225366
656;0,053946918;0,064172661;0,023130526;0,028779279;0,147789189;0,230973331
657;0,053198827;0,063282768;0,022768234;0,028328511;0,148241636;0,231680442
658;0,052419657;0,062355906;0,022369713;0,027832666;0,150026115;0,234469325
659;0,051485098;0,061244199;0,021925906;0,027280475;0,152971837;0,239073067
660;0,050472845;0,060040071;0,021527385;0,026784631;0,156605704;0,244752281
661;0,049460591;0,058835942;0,021165093;0,026333863;0,159567583;0,249381274
662;0,048605946;0,057819298;0,020829973;0,025916902;0,16098026;0,251589086
663;0,047726884;0,056773608;0,020447755;0,025441342;0,160962895;0,251561946
664;0,046901098;0,055791292;0,02015611;0,025078474;0,160770921;0,251261918
665;0,046263999;0,055033431;0,019862653;0,024713352;0,16067368;0,251109945
666;0,045669078;0,054325741;0,019686942;0,02449473;0,16067262;0,251108288
667;0,045149632;0,053707833;0,019453264;0,024203984;0,160703003;0,251155773
668;0,044636846;0,053097847;0,019409789;0,024149892;0,160719151;0,251181009
669;0,044299428;0,05269647;0,019409789;0,024149892;0,160720761;0,251183526
670;0,044081882;0,052437688;0,019518476;0,024285122;0,16072023;0,251182695
671;0,04410852;0,052469376;0,019670639;0,024474445;0,160796216;0,251301451
672;0,044141818;0,052508986;0,019848162;0,024695321;0,160939058;0,251524693
673;0,044181775;0,052556517;0,020014816;0,024902675;0,161159187;0,251868722
674;0,044465917;0,052894518;0,020215888;0,025152851;0,161495033;0,252393602
675;0,04486993;0,053375113;0,020543762;0,025560796;0,162005184;0,253190895
676;0,045247306;0,053824021;0,020860768;0,025955218;0,162575122;0,254081626
677;0,045689057;0,054349507;0,021175962;0,026347386;0,163112305;0,254921166
678;0,04610417;0,054843305;0,02164513;0,02693113;0,163618319;0,255711994
679;0,046761247;0,055624932;0,022194002;0,027614044;0,164208021;0,256633613
680;0,047624771;0,056652139;0,022795406;0,028362318;0,165097726;0,258024095
681;0,048694741;0,057924924;0,023338844;0,02903847;0,166372734;0,26001675
682;0,049766931;0,059200349;0,02394206;0,029788999;0,16747233;0,26173526
683;0,05115434;0,060850745;0,02468657;0,030715327;0,165779;0,259088829
684;0,053103373;0,063169221;0,025682873;0,031954939;0,160890046;0,251448094
685;0,055332107;0,065820416;0,02695814;0,033541642;0,153968627;0,240630907
686;0,057873841;0,068843941;0,028291374;0,035200468;0,146872001;0,229539898
687;0,060795171;0,072319014;0,029802132;0,03708017;0,141248495;0,220751164
688;0,063993982;0,076124166;0,031378101;0,039041011;0,138246499;0,216059474
689;0,067581268;0,080391428;0,0331642;0,041263297;0,138373899;0,216258581
690;0,071599205;0,085170974;0,035102462;0,043674905;0,141473277;0,221102466
691;0,076158788;0,090594834;0,037355918;0,046478682;0,14715901;0,229988452
692;0,081237816;0,096636602;0,040078541;0,049866203;0,15428118;0,241119383
693;0,087004999;0,103496966;0,043580093;0,054222875;0,160764254;0,251251499
694;0,093560231;0,111294755;0,047719278;0,059372898;0,16665529;0,260458344
695;0,100690406;0,119776468;0,052669996;0,065532642;0,172026372;0,268852576
696;0,108331147;0,128865527;0,058249292;0,072474469;0,176951539;0,276549907
697;0,116429178;0,138498556;0,064393762;0,080119493;0,181405389;0,283510636
698;0,124762514;0,148411492;0,071059933;0,088413623;0,185293483;0,28958717
699;0,133302297;0,158570007;0,07824237;0,097350097;0,188611087;0,29477211
700;0,168696834;0,141815441;0,122325817;0,08571464;0,299230924;0,191464077
701;0,178942489;0,150428478;0,133421434;0,093489425;0,304064993;0,194557174
702;0,189122129;0,15898602;0,144703184;0,101394634;0,310529278;0,198693372
703;0,199145972;0,167412589;0,156083172;0,109368679;0,319415675;0,204379369
704;0,208855579;0,175574997;0,16732873;0,117248527;0,330107458;0,211220547
705;0,218264154;0,18348434;0,178625991;0,125164605;0,341271903;0,218364161
706;0,227506369;0,191253833;0,189739704;0,13295207;0,352013898;0,225237469
707;0,236529412;0,198839078;0,200830151;0,140723231;0,36208744;0,231683064
708;0,245333282;0,206240074;0,211897331;0,148478089;0,371577526;0,237755333
709;0,253970792;0,21350122;0,222967096;0,156234759;0,381067134;0,243827296
710;0,262307271;0,220509303;0,233948965;0,163929839;0,391183193;0,250300096
711;0,270664874;0,227535144;0,244778308;0,171518042;0,401547816;0,25693194
